,Image,Full SIDC,Hierarchy Code,Name,Geometry,Annex
68,,SFAPWMU--------,1.X.2.2.1.3 ,SUBSURFACE TO SURFACE MISSILE (S/SSM),POINT,D
69,,SFAPWML--------,1.X.2.2.1.4 ,LAND ATTACK MISSILE,POINT,D
70,,SFAPWD---------,1.X.2.2.2 ,DECOY,POINT,D
71,,SFAPC----------,1.X.2.3 ,CIVIL AIRCRAFT,POINT,D
72,,SFAPCF---------,1.X.2.3.1 ,FIXED WING,POINT,D
73,,SFAPCH---------,1.X.2.3.2 ,ROTARY WING,POINT,D
74,,SFAPCL---------,1.X.2.3.3 ,LIGHTER THAN AIR,POINT,D
75,,SFGPU----------,1.X.3.1 ,UNIT,POINT,D
76,,SFGPUC---------,1.X.3.1.1 ,COMBAT,POINT,D
77,,SFGPUCD--------,1.X.3.1.1.1 ,AIR DEFENCE,POINT,D
78,,SFGPUCDS-------,1.X.3.1.1.1.1 ,SHORT RANGE,POINT,D
79,,SFGPUCDS-------,1.X.3.1.1.1.1.1 ,MISSILE,POINT,D
80,,SFGPUCDS-------,1.X.3.1.1.1.1.2 ,GUN,POINT,D
81,,SFGPUCDM-------,1.X.3.1.1.1.2 ,AIR DEFENCE MISSILE,POINT,D
82,,SFGPUCDML------,1.X.3.1.1.1.2.1 ,AIR DEFENCE MISSILE LIGHT,POINT,D
83,,SFGPUCDMLA-----,1.X.3.1.1.1.2.1.1 ,AIR DEFENCE MISSILE MOTORIZED,POINT,D
84,,SFGPUCDMM------,1.X.3.1.1.1.2.2 ,AIR DEFENCE MISSILE MEDIUM,POINT,D
85,,SFGPUCDMH------,1.X.3.1.1.1.2.3 ,AIR DEFENCE MISSILE HEAVY,POINT,D
86,,SFGPUCDH-------,1.X.3.1.1.1.2.4 ,H/MAD,POINT,D
87,,SFGPUCDG-------,1.X.3.1.1.1.3 ,GUN UNIT,POINT,D
88,,SFGPUCDC-------,1.X.3.1.1.1.4 ,COMPOSITE,POINT,D
89,,SFGPUCDT-------,1.X.3.1.1.1.5 ,TARGETING UNIT,POINT,D
90,,SFGPUCDO-------,1.X.3.1.1.1.6 ,THEATRE MISSILE DEFENCE UNIT,POINT,D
91,,SFGPUCA--------,1.X.3.1.1.2 ,ARMOUR,POINT,D
92,,SFGPUCAT-------,1.X.3.1.1.2.1 ,ARMOUR TRACK,POINT,D
93,,SFGPUCATA------,1.X.3.1.1.2.1.1 ,ARMOUR TRACK AIRBORNE,POINT,D
94,,SFGPUCATW------,1.X.3.1.1.2.1.2 ,ARMOUR TRACK AMPHIBIOUS,POINT,D
95,,SFGPUCATWR-----,1.X.3.1.1.2.1.2.1 ,ARMOUR TRACK AMPHIBIOUS RECOVERY,POINT,D
96,,SFGPUCATL------,1.X.3.1.1.2.1.3 ,ARMOUR TRACK LIGHT ,POINT,D
97,,SFGPUCATM------,1.X.3.1.1.2.1.4 ,ARMOUR TRACK MEDIUM ,POINT,D
98,,SFGPUCATH------,1.X.3.1.1.2.1.5 ,ARMOUR TRACK HEAVY ,POINT,D
99,,SFGPUCATR------,1.X.3.1.1.2.1.6 ,ARMOUR TRACK RECOVERY ,POINT,D
100,,SFGPUCAW-------,1.X.3.1.1.2.2 ,ARMOUR WHEELED ,POINT,D
101,,SFGPUCAWS------,1.X.3.1.1.2.2.1 ,ARMOUR WHEELED AIR ASSAULT ,POINT,D
102,,SFGPUCAWA------,1.X.3.1.1.2.2.2 ,ARMOUR WHEELED AIRBORNE ,POINT,D
103,,SFGPUCAWA------,1.X.3.1.1.2.2.3 ,ARMOUR WHEELED AMPHIBIOUS ,POINT,D
104,,SFGPUCAWL------,1.X.3.1.1.2.2.4 ,ARMOUR WHEELED LIGHT ,POINT,D
105,,SFGPUCAWM------,1.X.3.1.1.2.2.5 ,ARMOUR WHEELED MEDIUM ,POINT,D
106,,SFGPUCAWH------,1.X.3.1.1.2.2.6 ,ARMOUR WHEELED HEAVY ,POINT,D
107,,SFGPUCAWR------,1.X.3.1.1.2.2.7 ,ARMOUR WHEELED RECOVERY ,POINT,D
108,,SFGPUCAA-------,1.X.3.1.1.3 ,ANTI ARMOUR,POINT,D
109,,SFGPUCAAD------,1.X.3.1.1.3.1 ,ANTI ARMOUR DISMOUNTED,POINT,D
110,,SFGPUCAAL------,1.X.3.1.1.3.2 ,ANTI ARMOUR LIGHT,POINT,D
111,,SFGPUCAAM------,1.X.3.1.1.3.3 ,ANTI ARMOUR AIRBORNE,POINT,D
112,,SFGPUCAAS------,1.X.3.1.1.3.4 ,ANTI ARMOUR AIR ASSAULT,POINT,D
113,,SFGPUCAAU------,1.X.3.1.1.3.5 ,ANTI ARMOUR MOUNTAIN,POINT,D
114,,SFGPUCAAC------,1.X.3.1.1.3.6 ,ANTI ARMOUR ARCTIC,POINT,D
115,,SFGPUCAAA------,1.X.3.1.1.3.7 ,ANTI ARMOUR ARMOURED,POINT,D
116,,SFGPUCAAAT-----,1.X.3.1.1.3.7.1 ,ANTI ARMOUR ARMOURED TRACKED,POINT,D
117,,SFGPUCAAAW-----,1.X.3.1.1.3.7.2 ,ANTI ARMOUR ARMOURED WHEELED,POINT,D
118,,SFGPUCAAAS-----,1.X.3.1.1.3.7.3 ,ANTI ARMOUR ARMOURED AIR ASSAULT,POINT,D
119,,SFGPUCAAO------,1.X.3.1.1.3.8 ,ANTI ARMOUR MOTORIZED,POINT,D
120,,SFGPUCAAOS-----,1.X.3.1.1.3.8.1 ,ANTI ARMOUR MOTORIZED AIR ASSAULT,POINT,D
121,,SFGPUCV--------,1.X.3.1.1.4 ,AVIATION,POINT,D
122,,SFGPUCVF-------,1.X.3.1.1.4.1 ,FIXED WING,POINT,D
123,,SFGPUCVFU------,1.X.3.1.1.4.1.1 ,UTILITY FIXED WING,POINT,D
124,,SFGPUCVFA------,1.X.3.1.1.4.1.2 ,ATTACK FIXED WING,POINT,D
125,,SFGPUCVUTP-----,1.X.3.1.1.4.1.2.1 ,TACTICAL AIR CONTROL PARTY (TACP),POINT,D
126,,SFGPUCVUFC-----,1.X.3.1.1.4.1.2.2 ,FORWARD AIR CONTROLLER (FAC),POINT,D
127,,SFGPUCVFR------,1.X.3.1.1.4.1.3 ,RECON FIXED WING,POINT,D
128,,SFGPUCVR-------,1.X.3.1.1.4.2 ,ROTARY WING,POINT,D
129,,SFGPUCVRA------,1.X.3.1.1.4.2.1 ,ATTACK ROTARY WING,POINT,D
130,,SFGPUCVRS------,1.X.3.1.1.4.2.2 ,SCOUT ROTARY WING,POINT,D
131,,SFGPUCVRW------,1.X.3.1.1.4.2.3 ,ANTISUBMARINE WARFARE ROTARY WING,POINT,D
132,,SFGPUCVRU------,1.X.3.1.1.4.2.4 ,UTILITY ROTARY WING,POINT,D
133,,SFGPUCVRUL-----,1.X.3.1.1.4.2.4.1 ,LIGHT UTILITY ROTARY WING,POINT,D
134,,SFGPUCVRUM-----,1.X.3.1.1.4.2.4.2 ,MEDIUM UTILITY ROTARY WING,POINT,D
135,,SFGPUCVRUH-----,1.X.3.1.1.4.2.4.3 ,HEAVY UTILITY ROTARY WING,POINT,D
136,,SFGPUCVRUC-----,1.X.3.1.1.4.2.5 ,C2 ROTARY WING,POINT,D
137,,SFGPUCVRUE-----,1.X.3.1.1.4.2.6 ,MEDEVAC ROTARY WING,POINT,D
138,,SFGPUCVRM------,1.X.3.1.1.4.2.7 ,MINE COUNTERMEASURE ROTARY WING,POINT,D
139,,SFGPUCVS-------,1.X.3.1.1.4.3 ,PERSONNEL RECOVERY,POINT,D
140,,SFGPUCVC-------,1.X.3.1.1.4.4 ,COMPOSITE,POINT,D
141,,SFGPUCVV-------,1.X.3.1.1.4.5 ,VERTICAL/SHORT TAKEOFF AND LANDING (V/STOL),POINT,D
142,,SFGPUCVU-------,1.X.3.1.1.4.6 ,UNMANNED AERIAL VEHICLE,POINT,D
143,,SFGPUCVUF------,1.X.3.1.1.4.6.1 ,UNMANNED AERIAL VEHICLE FIXED WING,POINT,D
144,,SFGPUCVUR------,1.X.3.1.1.4.6.2 ,UNMANNED AERIAL VEHICLE ROTARY WING,POINT,D
145,,SFGPUCVUTP-----,1.X.3.1.1.4.6.3 ,TACTICAL AIR CONTROL PARTY (TACP),POINT,D
146,,SFGPUCVUFC-----,1.X.3.1.1.4.6.4 ,FORWARD AIR CONTROLLER (FAC),POINT,D
147,,SFGPUCI--------,1.X.3.1.1.5 ,INFANTRY,POINT,D
148,,SFGPUCIL-------,1.X.3.1.1.5.1 ,INFANTRY LIGHT,POINT,D
149,,SFGPUCIM-------,1.X.3.1.1.5.2 ,INFANTRY MOTORIZED,POINT,D
150,,SFGPUCIO-------,1.X.3.1.1.5.3 ,INFANTRY MOUNTAIN,POINT,D
151,,SFGPUCIA-------,1.X.3.1.1.5.4 ,INFANTRY AIRBORNE,POINT,D
152,,SFGPUCIS-------,1.X.3.1.1.5.5 ,INFANTRY AIR ASSAULT,POINT,D
153,,SFGPUCIZ-------,1.X.3.1.1.5.6 ,INFANTRY MECHANIZED,POINT,D
154,,SFGPUCIN-------,1.X.3.1.1.5.7 ,INFANTRY NAVAL,POINT,D
155,,SFGPUCII-------,1.X.3.1.1.5.8 ,INFANTRY FIGHTING VEHICLE,POINT,D
156,,SFGPUCIC-------,1.X.3.1.1.5.9 ,INFANTRY ARCTIC,POINT,D
157,,SFGPUCE--------,1.X.3.1.1.6 ,ENGINEER,POINT,D
158,,SFGPUCEC-------,1.X.3.1.1.6.1 ,ENGINEER COMBAT,POINT,D
159,,SFGPUCECS------,1.X.3.1.1.6.1.1 ,ENGINEER COMBAT AIR ASSAULT,POINT,D
160,,SFGPUCECA------,1.X.3.1.1.6.1.2 ,ENGINEER COMBAT AIRBORNE,POINT,D
161,,SFGPUCECC------,1.X.3.1.1.6.1.3 ,ENGINEER COMBAT ARCTIC,POINT,D
162,,SFGPUCECL------,1.X.3.1.1.6.1.4 ,ENGINEER COMBAT LIGHT,POINT,D
163,,SFGPUCECM------,1.X.3.1.1.6.1.5 ,ENGINEER COMBAT MEDIUM,POINT,D
164,,SFGPUCECH------,1.X.3.1.1.6.1.6 ,ENGINEER COMBAT HEAVY,POINT,D
165,,SFGPUCECT------,1.X.3.1.1.6.1.7 ,ENGINEER COMBAT MECHANIZED (TRACK),POINT,D
166,,SFGPUCECW------,1.X.3.1.1.6.1.8 ,ENGINEER COMBAT MOTORIZED,POINT,D
167,,SFGPUCECO------,1.X.3.1.1.6.1.9 ,ENGINEER COMBAT MOUNTAIN,POINT,D
168,,SFGPUCECR------,1.X.3.1.1.6.1.10 ,ENGINEER COMBAT RECON,POINT,D
169,,SFGPUCEC-------,1.X.3.1.1.6.1.11 ,ENGINEER COMBAT BRIDGING,POINT,D
170,,SFGPUCEC-------,1.X.3.1.1.6.1.12 ,ENGINEER COMBAT MINE CLEARING,POINT,D
171,,SFGPUCEC-------,1.X.3.1.1.6.1.13 ,ENGINEER COMBAT MINE LAYING,POINT,D
172,,SFGPUCEC-------,1.X.3.1.1.6.1.14 ,ENGINEER COMBAT DIVING,POINT,D
